rules,support,confidence,lift,count
{Vanilla Skyr Nonfat Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt},0.002069443,0.366718113,61.2220245,6653
{Icelandic Style Skyr Blueberry Non-fat Yogurt} => {Vanilla Skyr Nonfat Yogurt},0.002069443,0.345484759,61.2220245,6653
{Peach Pear Flavored Sparkling Water} => {Sparkling Water Grapefruit},0.002092461,0.31681816,13.42184944,6727
{Gala Apples} => {Banana},0.002728256,0.36415345,2.477346945,8771
{Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry},0.001954042,0.315551537,48.87072127,6282
{Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% Lowfat Greek Strained Yogurt with Peach},0.001954042,0.302630311,48.87072127,6282
{Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt},0.002492788,0.402551738,43.29284836,8014
{Organic Yellow Peaches} => {Organic Strawberries},0.002248922,0.339420684,4.122647596,7230
{Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt},0.002902447,0.449513441,48.34339387,9331
{Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry},0.002902447,0.312146656,48.34339387,9331
{Organic Bosc Pear} => {Bag of Organic Bananas},0.002079086,0.311884653,2.642429469,6684
{No Salt Added Black Beans} => {Banana},0.002723901,0.313601203,2.133438479,8757
{Granny Smith Apples} => {Banana},0.003730162,0.331389726,2.254454335,11992
{Bartlett Pears} => {Banana},0.004255843,0.386355293,2.628386755,13682
"{Clementines, Bag} => {Banana}",0.003858938,0.311512869,2.119231476,12406
{Broccoli Crown} => {Banana},0.004305612,0.329226525,2.239738013,13842
{Organic Navel Orange} => {Bag of Organic Bananas},0.004360669,0.328152431,2.780257526,14019
{Organic D'Anjou Pears} => {Bag of Organic Bananas},0.004636263,0.304712256,2.58166164,14905
{Organic Large Extra Fancy Fuji Apple} => {Bag of Organic Bananas},0.00726747,0.31083616,2.63354616,23364
{Honeycrisp Apple} => {Banana},0.008836427,0.356128321,2.422751745,28408
{Organic Fuji Apple} => {Banana},0.010558112,0.378692878,2.576259109,33943
{Cucumber Kirby} => {Banana},0.009983906,0.329825823,2.24381506,32097
{Organic Avocado} => {Banana},0.016608738,0.301982298,2.054394714,53395
"{Non Fat Acai & Mixed Berries Yogurt,Non Fat Raspberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000587892,0.600953895,100.3266891,1890
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Acai & Mixed Berries Yogurt} => {Non Fat Raspberry Yogurt}",0.000587892,0.481528662,94.52610228,1890
"{Non Fat Raspberry Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Vanilla Skyr Nonfat Yogurt}",0.000545589,0.459042136,81.34509021,1754
"{Nonfat Icelandic Style Strawberry Yogurt,Vanilla Skyr Nonfat Yogurt} => {Non Fat Raspberry Yogurt}",0.000545589,0.449974346,88.33185718,1754
"{Non Fat Raspberry Yogurt,Vanilla Skyr Nonfat Yogurt} => {Nonfat Icelandic Style Strawberry Yogurt}",0.000545589,0.344123995,103.7527228,1754
"{Non Fat Raspberry Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000657257,0.552996598,92.32042292,2113
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Non Fat Raspberry Yogurt}",0.000657257,0.463478833,90.98284484,2113
"{Nonfat Icelandic Style Strawberry Yogurt,Vanilla Skyr Nonfat Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000668455,0.551308363,92.03857938,2149
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Vanilla Skyr Nonfat Yogurt}",0.000668455,0.471375302,83.5306031,2149
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Vanilla Skyr Nonfat Yogurt} => {Nonfat Icelandic Style Strawberry Yogurt}",0.000668455,0.323012175,97.38754975,2149
"{Peach Pear Flavored Sparkling Water,Sparkling Water Berry} => {Sparkling Water Grapefruit}",0.000615887,0.573414422,24.29242703,1980
"{Sparkling Water Berry,Sparkling Water Grapefruit} => {Peach Pear Flavored Sparkling Water}",0.000615887,0.32781457,49.63417965,1980
"{Sparkling Lemon Water,Sparkling Water Berry} => {Lime Sparkling Water}",0.00060189,0.512718601,35.41283246,1935
"{Lime Sparkling Water,Sparkling Water Berry} => {Sparkling Lemon Water}",0.00060189,0.460166468,45.119471,1935
"{Sparkling Lemon Water,Sparkling Water Berry} => {Sparkling Water Grapefruit}",0.000711381,0.605988341,25.67240549,2287
"{Sparkling Water Berry,Sparkling Water Grapefruit} => {Sparkling Lemon Water}",0.000711381,0.378642384,37.12600817,2287
"{Lime Sparkling Water,Sparkling Water Berry} => {Sparkling Water Grapefruit}",0.000826782,0.632104637,26.77880984,2658
"{Sparkling Water Berry,Sparkling Water Grapefruit} => {Lime Sparkling Water}",0.000826782,0.440066225,30.39482373,2658
"{Blackberries,Raspberries} => {Strawberries}",0.000609355,0.332597623,7.479901861,1959
"{Blackberries,Strawberries} => {Raspberries}",0.000609355,0.356505914,19.88413593,1959
"{Non Fat Raspberry Yogurt,Vanilla Skyr Nonfat Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000910767,0.574455562,95.90290548,2928
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Raspberry Yogurt} => {Vanilla Skyr Nonfat Yogurt}",0.000910767,0.405315615,71.8244202,2928
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Vanilla Skyr Nonfat Yogurt} => {Non Fat Raspberry Yogurt}",0.000910767,0.44010221,86.39391529,2928
"{Banana,Non Fat Raspberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000605,0.485764236,81.0962669,1945
"{Banana,Icelandic Style Skyr Blueberry Non-fat Yogurt} => {Non Fat Raspberry Yogurt}",0.000605,0.381073668,74.80636419,1945
"{Banana,Vanilla Skyr Nonfat Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000525059,0.38276644,63.90122427,1688
"{Banana,Icelandic Style Skyr Blueberry Non-fat Yogurt} => {Vanilla Skyr Nonfat Yogurt}",0.000525059,0.330721003,58.60579618,1688
"{Peach Pear Flavored Sparkling Water,Sparkling Lemon Water} => {Lime Sparkling Water}",0.000583538,0.572474825,39.54012008,1876
"{Lime Sparkling Water,Peach Pear Flavored Sparkling Water} => {Sparkling Lemon Water}",0.000583538,0.44476055,43.60891572,1876
"{Peach Pear Flavored Sparkling Water,Sparkling Lemon Water} => {Sparkling Water Grapefruit}",0.000648548,0.63625267,26.95453926,2085
"{Peach Pear Flavored Sparkling Water,Sparkling Water Grapefruit} => {Sparkling Lemon Water}",0.000648548,0.309944998,30.39020723,2085
"{Lime Sparkling Water,Peach Pear Flavored Sparkling Water} => {Sparkling Water Grapefruit}",0.000850422,0.64817449,27.45960146,2734
"{Peach Pear Flavored Sparkling Water,Sparkling Water Grapefruit} => {Lime Sparkling Water}",0.000850422,0.406421882,28.07105103,2734
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}",0.000710759,0.461150353,71.42018887,2285
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% Lowfat Greek Strained Yogurt with Peach}",0.000710759,0.431783825,69.72727504,2285
"{Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% Greek Strained Yogurt with Cherry 5.3 oz}",0.000710759,0.363737663,64.80662581,2285
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.00074933,0.48617558,52.28626208,2409
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt with Peach}",0.00074933,0.446028513,72.02760049,2409
"{Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Greek Strained Yogurt with Cherry 5.3 oz}",0.00074933,0.300598952,53.55729077,2409
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.000799409,0.4856387,52.22852272,2570
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}",0.000799409,0.475837808,73.69489337,2570
"{Banana,Total 2% Greek Strained Yogurt with Cherry 5.3 oz} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.000502975,0.303263316,32.61477099,1617
"{Organic Hass Avocado,Organic Large Green Asparagus} => {Bag of Organic Bananas}",0.000553987,0.374631889,3.174052759,1781
"{Bag of Organic Bananas,Organic Large Green Asparagus} => {Organic Hass Avocado}",0.000553987,0.351559416,5.291684888,1781
"{Organic Cilantro,Organic Jalapeno Pepper} => {Limes}",0.00053408,0.408420552,9.33690268,1717
"{Limes,Organic Jalapeno Pepper} => {Organic Cilantro}",0.00053408,0.316381058,14.62984346,1717
"{Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}",0.000573584,0.496099005,76.83282548,1844
"{Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% Lowfat Greek Strained Yogurt with Peach}",0.000573584,0.470888662,76.04217983,1844
"{Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.001161165,0.594237504,63.90789487,3733
"{Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}",0.001161165,0.465809833,72.141821,3733
"{Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt with Peach}",0.001161165,0.400064302,64.6049991,3733
"{Banana,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}",0.000574517,0.316646666,49.04032817,1847
"{Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.000699872,0.605326877,65.10051306,2250
"{Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt with Peach}",0.000699872,0.38981289,62.94953407,2250
"{Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Banana}",0.000752129,0.301721987,2.052623808,2418
"{Banana,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.000752129,0.414537974,44.58192063,2418
"{Bag of Organic Bananas,Organic Green Seedless Grapes} => {Organic Strawberries}",0.000559898,0.346553716,4.209286318,1800
"{Organic Hass Avocado,Organic Yellow Peaches} => {Organic Strawberries}",0.000538746,0.41356256,5.023184415,1732
"{Bag of Organic Bananas,Organic Yellow Peaches} => {Organic Strawberries}",0.000560831,0.394270719,4.788863225,1803
"{Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.000748085,0.614147089,66.04909203,2405
"{Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}",0.000748085,0.416666667,64.53082346,2405
"{Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Banana}",0.000871263,0.300182188,2.042148515,2801
"{Banana,Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.000871263,0.453897261,48.81485646,2801
"{Banana,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}",0.000871263,0.317825939,49.22296694,2801
"{Organic Bosc Pear,Organic Hass Avocado} => {Bag of Organic Bananas}",0.000620553,0.475452812,4.028253747,1995
"{Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Banana}",0.000553987,0.308558559,2.099133214,1781
"{Organic Hass Avocado,Organic Milk} => {Bag of Organic Bananas}",0.000554921,0.412676382,3.496383111,1784
"{Organic Milk,Organic Strawberries} => {Bag of Organic Bananas}",0.000520705,0.372165407,3.153155594,1674
"{Organic Hass Avocado,Organic Hothouse Cucumbers} => {Bag of Organic Bananas}",0.00053999,0.361215148,3.060379989,1736
"{Bag of Organic Bananas,Organic Hothouse Cucumbers} => {Organic Hass Avocado}",0.00053999,0.317657823,4.781396895,1736
"{Pure Sparkling Water,Sparkling Lemon Water} => {Lime Sparkling Water}",0.000568918,0.465987261,32.18515727,1829
"{Lime Sparkling Water,Pure Sparkling Water} => {Sparkling Lemon Water}",0.000568918,0.456793207,44.7887216,1829
"{Pure Sparkling Water,Sparkling Lemon Water} => {Sparkling Water Grapefruit}",0.00071418,0.584968153,24.78189528,2296
"{Pure Sparkling Water,Sparkling Water Grapefruit} => {Sparkling Lemon Water}",0.00071418,0.366013072,35.88770003,2296
"{Lime Sparkling Water,Pure Sparkling Water} => {Sparkling Water Grapefruit}",0.000734399,0.58966034,24.98067753,2361
"{Pure Sparkling Water,Sparkling Water Grapefruit} => {Lime Sparkling Water}",0.000734399,0.37637494,25.99574635,2361
"{Red Raspberries,Strawberries} => {Banana}",0.000560831,0.399158734,2.715488948,1803
"{Cantaloupe,Organic Strawberries} => {Bag of Organic Bananas}",0.000573895,0.321204735,2.721393471,1845
"{Bag of Organic Bananas,Cantaloupe} => {Organic Strawberries}",0.000573895,0.348639456,4.234619986,1845
"{Organic Bell Pepper,Organic Hass Avocado} => {Bag of Organic Bananas}",0.000520394,0.368339938,3.120744475,1673
"{Bag of Organic Bananas,Organic Bell Pepper} => {Organic Hass Avocado}",0.000520394,0.308956602,4.650425814,1673
"{Limes,No Salt Added Black Beans} => {Banana}",0.000555543,0.366283839,2.491840046,1786
"{No Salt Added Black Beans,Organic Avocado} => {Banana}",0.000684941,0.397114518,2.701582084,2202
"{No Salt Added Black Beans,Organic Baby Spinach} => {Banana}",0.000712625,0.385365854,2.621655568,2291
"{Organic Large Brown Grade AA Cage Free Eggs,Organic Raspberries} => {Organic Strawberries}",0.000512928,0.350254885,4.254241202,1649
"{Organic Large Brown Grade AA Cage Free Eggs,Organic Raspberries} => {Bag of Organic Bananas}",0.000534702,0.365123195,3.09349075,1719
"{Organic Hass Avocado,Organic Large Brown Grade AA Cage Free Eggs} => {Bag of Organic Bananas}",0.00065508,0.360863605,3.05740156,2106
"{Organic Large Brown Grade AA Cage Free Eggs,Organic Strawberries} => {Bag of Organic Bananas}",0.000595669,0.329377365,2.790635728,1915
"{Green Beans,Organic Avocado} => {Banana}",0.00050764,0.388663968,2.644092737,1632
"{Organic Baby Spinach,Organic Extra Firm Tofu} => {Banana}",0.000570162,0.313226247,2.130887643,1833
"{Lime Sparkling Water,Sparkling Lemon Water} => {Sparkling Water Grapefruit}",0.001379214,0.518839223,21.98037488,4434
"{Sparkling Lemon Water,Sparkling Water Grapefruit} => {Lime Sparkling Water}",0.001379214,0.480702515,33.20152146,4434
